PREFIX,PARTICIPANT_ID,NumberFrom ,NumberTo,TotalNumbersAllocated,UpdateDate
010610,45DGTGNP,0106100000,0106109999,10000,
012610,45DGTGNP,0126100000,0126109999,10000,
021610,45DGTGNP,0216100000,0216109999,10000,
031610,45DGTGNP,0316100000,0316109999,10000,
0870800,45DGTGNP,0870800000,0870800999,1000,25-Feb-22
0870801,45DGTGNP,0870801000,0870801999,1000,25-Feb-22
0870802,45DGTGNP,0870802000,0870802999,1000,25-Feb-22
0870803,45DGTGNP,0870803000,0870803999,1000,25-Feb-22
0870804,45DGTGNP,0870804000,0870804999,1000,25-Feb-22
010060,ALTECH,0100600000,0100609999,10000,
012060,ALTECH,0120600000,0120609999,10000,
021060,ALTECH,0210600000,0210609999,10000,
031060,ALTECH,0310600000,0310609999,10000,
041050,ALTECH,0410500000,0410509999,10000,
0100040,AMOBIA,0100040000,0100040999,1000,28-Jan-21
0100041,AMOBIA,0100041000,0100041999,1000,28-Jan-21
0100042,AMOBIA,0100042000,0100042999,1000,28-Jan-21
0100043,AMOBIA,0100043000,0100043999,1000,28-Jan-21
0100044,AMOBIA,0100044000,0100044999,1000,28-Jan-21
0120050,AMOBIA,0120050000,0120050999,1000,28-Jan-21
0120051,AMOBIA,0120051000,0120051999,1000,28-Jan-21
0120052,AMOBIA,0120052000,0120052999,1000,28-Jan-21
0120053,AMOBIA,0120053000,0120053999,1000,28-Jan-21
0120054,AMOBIA,0120054000,0120054999,1000,28-Jan-21
021006,AMOBIA,0210060000,0210069999,10000,28-Jan-21
0310060,AMOBIA,0310060000,0310060999,1000,28-Jan-21
0310061,AMOBIA,0310061000,0310061999,1000,28-Jan-21
0310062,AMOBIA,0310062000,0310062999,1000,28-Jan-21
0310063,AMOBIA,0310063000,0310063999,1000,28-Jan-21
0310064,AMOBIA,0310064000,0310064999,1000,28-Jan-21
0410060,AMOBIA,0410060000,0410060999,1000,28-Jan-21
0410061,AMOBIA,0410061000,0410061999,1000,28-Jan-21
0410062,AMOBIA,0410062000,0410062999,1000,28-Jan-21
0410063,AMOBIA,0410063000,0410063999,1000,28-Jan-21
0410064,AMOBIA,0410064000,0410064999,1000,28-Jan-21
0424300,AMOBIA,0424300000,0424300999,1000,28-Jan-21
0444300,AMOBIA,0444300000,0444300999,1000,28-Jan-21
0544000,AMOBIA,0544000000,0544000999,1000,28-Jan-21
0879000,AMOBIA,0879000000,0879000999,1000,25-Feb-22
0100230,BACSPACE,0100230000,0100230999,1000,
0100231,BACSPACE,0100231000,0100231999,1000,26-Nov-19
0100232,BACSPACE,0100232000,0100232999,1000,26-Nov-19
0100233,BACSPACE,0100233000,0100233999,1000,13-Aug-20
0100234,BACSPACE,0100234000,0100234999,1000,13-Aug-20
0100236,BACSPACE,0100236000,0100236999,1000,28-Oct-21
0100237,BACSPACE,0100237000,0100237999,1000,28-Oct-21
0100238,BACSPACE,0100238000,0100238999,1000,28-Oct-21
0100239,BACSPACE,0100239000,0100239999,1000,28-Oct-21
0103350,BACSPACE,0103350000,0103350999,1000,4-Mar-21
0103351,BACSPACE,0103351000,0103351999,1000,4-Mar-21
0106340,BACSPACE,0106340000,0106340999,1000,20-Nov-19
0120230,BACSPACE,0120230000,0120230999,1000,
0120231,BACSPACE,0120231000,0120231999,1000,26-Nov-19
0120232,BACSPACE,0120232000,0120232999,1000,26-Nov-19
0120233,BACSPACE,0120233000,0120233999,1000,28-Oct-21
0120234,BACSPACE,0120234000,0120234999,1000,28-Oct-21
0131705,BACSPACE,0131705000,0131705999,1000,4-Sep-19
0131706,BACSPACE,0131706000,0131706999,1000,12-May-22
0140610,BACSPACE,0140610000,0140610999,1000,12-Mar-20
0150230,BACSPACE,0150230000,0150230999,1000,
0150231,BACSPACE,0150231000,0150231999,1000,12-May-22
0160230,BACSPACE,0160230000,0160230999,1000,14-Jan-20
0171705,BACSPACE,0171705000,0171705999,1000,4-Sep-19
0180610,BACSPACE,0180610000,0180610999,1000,12-Mar-20
0210230,BACSPACE,0210230000,0210230999,1000,
0210231,BACSPACE,0210231000,0210231999,1000,26-Nov-19
0210232,BACSPACE,0210232000,0210232999,1000,26-Nov-19
0210233,BACSPACE,0210233000,0210233999,1000,27-May-21
0210234,BACSPACE,0210234000,0210234999,1000,27-May-21
0226340,BACSPACE,0226340000,0226340999,1000,20-Nov-19
0232050,BACSPACE,0232050000,0232050999,1000,12-Nov-20
0270245,BACSPACE,0270245000,0270245999,1000,18-Nov-20
0282050,BACSPACE,0282050000,0282050999,1000,12-Nov-20
0310230,BACSPACE,0310230000,0310230999,1000,
0310231,BACSPACE,0310231000,0310231999,1000,27-May-21
0310232,BACSPACE,0310232000,0310232999,1000,12-May-22
0320610,BACSPACE,0320610000,0320610999,1000,12-Mar-20
0332050,BACSPACE,0332050000,0332050999,1000,12-Nov-20
0342050,BACSPACE,0342050000,0342050999,1000,12-Nov-20
0356280,BACSPACE,0356280000,0356280999,1000,14-Jan-20
0363479,BACSPACE,0363479000,0363479999,1000,11-Mar-21
0392050,BACSPACE,0392050000,0392050999,1000,12-Nov-20
0408805,BACSPACE,0408805000,0408805999,1000,9-Sep-21
0410230,BACSPACE,0410230000,0410230999,1000,
0422050,BACSPACE,0422050000,0422050999,1000,12-Nov-20
0430230,BACSPACE,0430230000,0430230999,1000,
0440230,BACSPACE,0440230000,0440230999,1000,4-Jun-20
0452050,BACSPACE,0452050000,0452050999,1000,12-Nov-20
0463309,BACSPACE,0463309000,0463309999,1000,11-Mar-21
0471109,BACSPACE,0471109000,0471109999,1000,11-Mar-21
0481099,BACSPACE,0481099000,0481099999,1000,11-Mar-21
0490249,BACSPACE,0490249000,0490249999,1000,11-Mar-21
0510230,BACSPACE,0510230000,0510230999,1000,
0532150,BACSPACE,0532150000,0532150999,1000,12-Nov-20
0542050,BACSPACE,0542050000,0542050999,1000,12-Nov-20
0563029,BACSPACE,0563029000,0563029999,1000,11-Mar-21
0572050,BACSPACE,0572050000,0572050999,1000,12-Nov-20
0580230,BACSPACE,0580230000,0580230999,1000,14-Jan-20
0800003620,BACSPACE,0800003620,0800003620,1,12-May-22
0800003622,BACSPACE,0800003622,0800003622,1,12-May-22
0800003623,BACSPACE,0800003623,0800003623,1,12-May-22
0800003625,BACSPACE,0800003625,0800003625,1,12-May-22
0800003627,BACSPACE,0800003627,0800003627,1,12-May-22
0800003628,BACSPACE,0800003628,0800003628,1,12-May-22
0800003629,BACSPACE,0800003629,0800003629,1,12-May-22
0800003630,BACSPACE,0800003630,0800003630,1,12-May-22
0800003631,BACSPACE,0800003631,0800003631,1,12-May-22
0800003633,BACSPACE,0800003633,0800003633,1,12-May-22
0800057000,BACSPACE,0800057000,0800057000,1,25-Feb-22
0800362633,BACSPACE,0800362633,0800362633,1,25-Feb-22
0800362835,BACSPACE,0800362835,0800362835,1,25-Feb-22
0800835362,BACSPACE,0800835362,0800835362,1,25-Feb-22
