Routing Label,GNP NO,Participant ID,Update Date
D855,45 Degrees Telecommunications (Pty) Ltd,45DGTGNP ,
D873,Altech Technology Concepts (Pty) Ltd ,ALTECH,
D859,Amobia Communications (Pty) Ltd ,AMOBIA,
D912,Backspace Technologies (Pty) Ltd ,BACSPACE ,
D882,Business Connexion ,BCXGNP,
D884,Rose Courtz Trading CC trading as BitCo,BITCOGNP ,
D933,Brilliant Telecommunications Network (Pty) Ltd ,BRILLGNP,
D851,Broadband Innovation (Pty) Ltd,BROADBAN,
D878,BT Communications Services South Africa (Pty) Ltd ,BTSAGNP,
D074,Cell C (Pty) Ltd,CELLCGNP,
D905,Centracom (Pty) Ltd,CENTRA,
D886,connect First Telecoms (Pty) Ltd,CFTGNP,
D914,CMC Networks (Pty) Ltd,CMCGNP,
D005,Connection Telecom (Pty) Ltd ,CTEL,
D899,Converged Telecoms (Pty) Ltd.,CVTGNP,
D918,Directel Communications (Pty) Ltd ,DIRECTEL,
D871,Dow Networks (Pty) Ltd,DOWNETSA,
D001,ECN Telecommunications,ECN,
D948,eNetworks (Pty) Ltd ,ENETWORK,
D072,EOH Network Solutions ,EOHGNP,
D869,Amatole Telecommunications (Pty) Ltd (Easttel),ETELGNP,
D903,EXTIM (Pty) Ltd,EXTIM,
D939,FirstNet Technology (Pty) Ltd ,FIRSTNET,
D860,Frogfoot Networks (Pty) Ltd,FROGGNP ,
D902,GoldTel Solutions (Pty) Ltd ,GOLDTEL,
D881,GVSC Communications SA (Pty) Ltd,GVSCGNP,
D883,Hymax Talking Solutions (Pty) Ltd ,HTSGNP,
D906,IConnectSA (Pty) Ltd,ICONGNP,
D890,ICT Globe Management (Pty) Ltd,ICTGLOBE,
D934,Interexcel World Connection (Pty) Ltd ,IEWCGNP,
D850,Internet Solutions (Pty) Ltd,INTERSOL,
D076,Jasco ICT Data Fussion (Pty) Ltd,JASCOGNP,
D913,Jenny Internet (Pty) Ltd,JENNY,
D942,Layer 3 Telecom (Pty) Ltd,LAYER3,
D957,Mubvumela Corporation (Pty) Ltd ,MBVIT,
D921,Metro Fibre Networx (Pty) Ltd ,METROGNP,
D891,MIA Telecoms (Pty) Ltd ,MIAGNP,
D935,Mitsol (Pty) Ltd,MITSOL,
D943,Moklet (Pty) Ltd ,MOKLET,
D950,Mossnet (Pty) Ltd,MOSSNET,
D875,MTN Business Solutions (Pty) Ltd,MTNBSGNP,
D863,Multisource Telecoms (Pty) Ltd,MULTISOU,
D861,MWEB Connect (Pty) Ltd,MWEBCON,
D007,Neotel,NEOTEL,
D928,Netwide Internet (Pty) Ltd ,NETWIDE,
D938,NEXUS Online (Pty) Ltd �,NEXUSGNP,
D954,Orange Business Services (Pty) Ltd ,ORANGE,
D885,OHREN Telecom CC,OTELGNP,
D956,Pantele Communications (Pty) Ltd,PANTELE,5-May-22
D896,Platformity CC,PLATFORM,
D917,Reflex Communications (Pty) Ltd ,REFLEX,
D898,Singatel (Pty) Ltd ,SINGAGNP,
D867,Skycall Networks (Pty) Ltd,SKYCALL,
D865,Skyconnect Internet CC,SKYCON,
D876,Saicom Voice Services Pty Ltd,SVSGNP,
D003,Switch Telecom (Pty) Ltd,SWITCH,
D874,Paw Paw Wireless (Pty) Ltd t/a Tele-Junction ,TELEJGNP,
D866,TelFree Communications (Pty) Ltd ,TELFREE,
D000,Telkom,TELKOM,
D929,Trusc Tecnologies (Pty) Ltd,TRUSCGNP,
D916,T-Systems (Pty) Ltd ,TSYSTGNP,
D877,Virtual Card Acquiring (Pty) Ltd ,VCAGNP,
D071,Vlocity Communications (Pty) Ltd,VLOCITY,
D892,V-Office (Pty) Ltd   ,VOCONEC,
D864,Vodacom (Pty) Ltd,VODAGNP,
D002,Vox Telecom,VOX,
D930,Voys Telecom SA (Pty) Ltd,VOYSGNP,
D940,Platoon Trade and Invest 149 (Pty) Ltd t/a Wanatel ,WANATEL,
D856,Wireless Business Solutions [WBS],WBS,
D004,Telkom Mobile SA Ltd ,TELKMOBL,
D082,Vodacom (Pty) Ltd,VODACOM,
D083,MTN (Pty) Ltd,MTN,
D084,CellC (Pty) Ltd,CELLC,
D932,Lyca Mobile SA (Pty) Ltd,LYCAMNP,
